Rand Values,isExperiential,isQuestion,numChars,postID,numPostsByUser,replyNum,numLinks,isTerminating,thisPost,numPostsInThread,wordsPerPara,breaksToWordsRatio,dataSet_isExperiential2,dataSet_isInfoSeeking
3.677899422,no,no,295,109343,498,20,0,0,It may not just hurt the person who posted  it could also hurt others  including doctors who treat lyme.  Please be careful about what you post. <br/>  <br/> Bad people definitely read this forum to collect information.  We know this because they have quoted lymenet posts in newspaper articles!,32,15,0.040816327,Experimental,Experimental
10.07416394,no,no,3740,14026,1248,0,0,0,Posting for the new members... <br/>  <br/> Abbreviations for Lyme-speak: <br/>  <br/>  <br/> AB= antibody <br/> ABX= antibiotics <br/> AC= before meals <br/> AMA= Against Medical Advice <br/> ART= Autonomic Response Testing <br/> Babs= babesiosis <br/>  <br/> Bart= bartonella <br/> Bb= Borrelia burgdorferi <br/> BBB= blood brain barrier <br/> bid= twice a day <br/> biw= twice a week <br/> bpm= beats per minute <br/>   <br/> BPP= blood pressure and pulse <br/> BTW= by the way <br/> CAT= computerized axial tomography <br/> CBC= complete blood count <br/> CNS= central nervous system <br/> CSF= cerebrospinal fluid <br/>  <br/> CSW= Clinical Social Worker <br/> DC= Doctor of Chiropractic <br/> DO= Doctor of Osteopathy <br/> duck= quack doctor <br/> dx= diagnosis <br/> EEG= electroencephalogram <br/>  <br/> ELISA= enzyme-linked immunosorbent assay <br/> EM= erythema migrans <br/> EMG= electromyography <br/> FM= fibromyalgia <br/> FNP= Family Nurse Practitioner <br/> FWIW= for what it's worth <br/>  <br/> Herx= Jarish-Herxheimer reaction <br/> HBO= Hyperbaric Oxygen  <br/> HBOT= Hyperbaric Oxygen therapy  <br/> HLA= Human leukocyte antigens  <br/> hx= history of <br/> IC= between meals or interstitial cystitis <br/>  <br/> ICHT= Intra cellular Hyperthermia treatment <br/> ID= infectious disease <br/> IFA= immunofluorescent assay <br/> IgE= Immunoglobulin E  <br/> IgG= Immunoglobulin G <br/> IgM= Immunoglobulin M <br/>  <br/> IM= intramuscular <br/> IMHO= in my honest opinion <br/> IMO= in my opinion <br/> IV= intravenous <br/> keets= spirochetes <br/> KWIM= Know what I mean? <br/>  <br/> LAc= Licensed Acupuncturist <br/> LD= Lyme disease <br/> LFT= Liver Function Test <br/> LL= lyme literate <br/> LLMD= Lyme Literate Medical Doctor <br/> LMT= Licensed Massage Therapist <br/>  <br/> LOL= laugh out loud <br/> LP= lumbar puncture <br/> LUAT= Lyme Urine Antigen test <br/> MAC= maximum allowable concentration <br/> MIC= minimum inhibitory concentration of an antibacterial drug <br/>  <br/> MgD= magnesium-deficient <br/> MPH= Masters of Public Health <br/> MRI= magnetic resonance imaging <br/> ND= Naturopathic Doctor <br/> NE= neurological examination <br/> Neuro= neurology  neurological <br/>  <br/> NCS= nerve conduction study <br/> NK= natural killer cells  <br/> NM= neuromuscular <br/> NMH= neurally mediated hypotension <br/> NP= nurse practitioner <br/> NSAID= non-steroidal anti-inflammatory drugs <br/>  <br/> N/V= nausea vomiting <br/> OCD= obsessive compulsive disorder <br/> OD= once daily <br/> OTC= over the counter <br/> OV= office visit  <br/> PA= physician assistant <br/>  <br/> PCR= polymerase chain reaction <br/> PICC= peripherally inserted central catheter <br/> po= by mouth <br/> POTS= postural orthostatic tachycardia syndrome <br/> prn= as needed <br/> pt= patient <br/>  <br/> QAM= every morning <br/> qd= once a day <br/> qid= four times a day <br/> QM= every morning <br/> QOD= every other day <br/> RIFE= electro-conducted frequency machine therapy <br/>  <br/> RMSF= Rocky Mountain Spotted Fever <br/> ROTFLOL= rolling on the floor laughing out loud <br/> RPA= Registered Physician Assistant <br/> Rx= prescription <br/> sc= subcutaneous (under skin)  <br/> SPECT Scan= Single Photon Emission Computed Tomography <br/>  <br/> sx= symptom <br/> syx= symptoms <br/> TBD= Tick Borne Disease <br/> TBI= Tick borne Illness <br/> tid= three times a day <br/> TMI= too much information <br/>  <br/> TTT= tilt table test <br/> tx= treatment <br/> UTI= urinary tract infection <br/> VCS= visual contrast survey <br/> WB= western blot <br/>  <br/> If anyone would like to add to this list  please feel free to do so! <br/>   <br/>   [ 06-23-2009  09:29 PM: Message edited by: Melanie Reber ] ,35,3,0.238615665,Experimental,Experimental
10.95662445,no,no,288,111175,2563,8,1,1, http://www.financial-inspiration.com/top-12-inspirational-videos-from-youtube.html  <br/>  <br/> Twelve Top Inspriational Videos on YouTube <br/>  <br/> (I wasn't able to watch these as my connection was one where it starts and plays a second or two and then stops and then starts. ETc.),9,6,0.105263158,Experimental,Experimental
16.49412435,yes,no,1092,117689,841,18,0,0,Andie  <br/>  <br/>     Glad to hear you are still getting in that milage atleast on Wednesday.  I'm not sure what I should be doing since my stamina says  let's walk  but I'm afraid of injury now. <br/>  <br/>      But going to finish up here and take a drive over to the coast and walk over on the beach for awhile.  Still snow here  but it will be a change of scenery. <br/>  <br/> Tutu  <br/>  <br/>      I'm not sure what to be thinking of the Levequin.  I'm trying it now at half dose since that's actually what I was doing while on vacation and didn't have ANY problems.  <br/>  <br/>      Hopefully getting the med in me even at half dose will be better than not at all.  I just want to finish this protocol so I can move on to something not as nerve racking. <br/>  <br/>      Heck  if I'm not herxing  I'm here worried about a drug side effect.  When does it ever end?  Ugh....but I am going to try to get in some walking time so need to get going. <br/>  <br/>      I know you too are going through a rough time and you too Kam.  Aren't we something  here.  Ugh. <br/>  <br/> Cathy,22,11,0.077669903,Experimental,Experimental
25.82849034,yes,no,1456,44435,390,14,0,0,I agree with lymepool.  My son and I have the same problem.  Had tilt table test way before our lyme diagnosis and found this problem after major symptoms. He is a competative swimmer  and sometimes  he would pass out while doing flip turns. No sign of a problem before the turn! It would also happen when kneeling as an alter server at church. <br/>  <br/> We take electrolyte mix or  emergen C  with water.  Water straight seems to deplete the balence in us with lyme.  Some of us who have lyme affecting the vagus nerve have these low blood pressure problems that were mentioned by lymepool and CAPA.  This took me 4 years to work out after seening the best pediatric specialists in NYC  Columbia U.  and olympic team MD's etc. <br/>  <br/> Interesting that lyme was never brought up by them  and interesting that Columbia U. doesn't share their info between specialists...as we have now been to Columbia U. for lyme type tests/ treatments sent by our LLMD. <br/>  <br/> No one  except our good llmd's are connecting the dots. <br/>  <br/> Also  NOW&lt; we have not been having any symptoms that we had before.  We finally have also addressed the mal-absorption issue.  Please work with someone who understands nutrition and how lyme patients do not absorb nutrients correctly.  We supplement with liquid shakes  off and on  containing amino acids  electrrolytes  etc.  Our own combo for endurance and balance. <br/>  <br/> LP <br/>  <br/> Good results.,20,18,0.048582996,Experimental,Experimental
25.99984551,no,no,64,116581,378,2,1,0,Here you go  read this: <br/>  <br/>  http://tinyurl.com/6d87j2 ,14,2,0.25,Experimental,Experimental
27.39467821,no,no,546,25937,566,9,1,0,   quote:   Originally posted by Pam Weintraub: <br/>  <br/>  http://experiencelifemag.com/issues/june-2009/health-wellness/a-more-reader-friendly-version-what-you-dont-know-about-lyme.html    <br/>  <br/> Thanks to Betty's request I think  the magazine created a reader-friendly version: check it out! at link above  Pam  <br/>     WOW. That is impressive that they would be so responsive. <br/>  <br/> Pam this is another great article. Thank you for your dedication to informing about this illness in such a professional and thoughtful manner.,11,7,0.106060606,Experimental,Experimental
48.3554219,no,no,162,102012,143,4,0,0,good for you!  enjoy your break from reality. <br/>  <br/> i'm gettinig excited about my familiy's trip to disney on OCt 31-you can't help but be happy in disney!,6,9,0.068965517,Experimental,Experimental
48.83801804,yes,no,163,61848,40,1,0,0,I've taken grape seed extract for a few years and have had no problems.  I take it for the antioxidant effects.  I've never read anything negative about taking it.,12,29,0,Experimental,Experimental
51.34841743,yes,no,555,96146,1,0,0,0,hi this is my first post since browsing and joining your site last month. I have had neuro lyme since 2002 and dr R who is now in NY is my llmd. <br/>  <br/> I have made it through most of the wonderful information in the  newbie package  I got emailed to me when I joined. <br/>  <br/> I love reading all the posts here as well  it is such a relief to hear opionions and experiences of people just like me!!!! its so hard to get the people in your life to understand the madness. <br/>  <br/> I just wanted to say hi and Happy Holidays <br/>  <br/> Chery,4,11,0.072727273,Experimental,Experimental
